TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths
35,CUST5664,ACC65545,Credit,Transfer,Home Loan,Firm B,East,Manager 3,16-10-2023,69535.56057,39320.18219,0.243704161,469,47
70,CUST9683,ACC30146,Savings,Transfer,Credit Card,Firm B,North,Manager 2,13-03-2023,38590.38559,40764.53274,0.544225279,793,112
195,CUST5920,ACC47099,Current,Payment,Home Loan,Firm E,North,Manager 2,18-10-2023,70859.94786,107562.9225,0.001591171,627,205
10,CUST9731,ACC94203,Loan,Deposit,Credit Card,Firm D,Central,Manager 4,04-02-2023,65796.36817,87814.53434,0.331727443,495,203
25,CUST7345,ACC17688,Loan,Withdrawal,Personal Loan,Firm C,West,Manager 2,30-09-2023,57615.49929,87484.18747,0.487831899,345,217
136,CUST7933,ACC88516,Savings,Withdrawal,Home Loan,Firm B,North,Manager 4,16-10-2023,56019.971,41877.24564,0.42932946,680,195
171,CUST7651,ACC83848,Credit,Deposit,Home Loan,Firm A,West,Manager 3,11-05-2023,43922.88045,104717.1314,0.344847416,517,56
52,CUST7730,ACC11837,Savings,Transfer,Savings Account,Firm B,South,Manager 1,28-01-2023,26407.07559,168187.0333,0.856500416,596,147
92,CUST2188,ACC88449,Savings,Transfer,Savings Account,Firm B,Central,Manager 1,02-03-2024,375.4909042,75497.95481,0.549852616,465,97
140,CUST5894,ACC74631,Credit,Payment,Home Loan,Firm E,West,Manager 4,17-04-2023,40998.07074,72813.3392,0.450102097,701,105
145,CUST1749,ACC39500,Credit,Withdrawal,Savings Account,Firm C,South,Manager 2,19-04-2023,21887.48815,52728.1938,0.465837064,318,106
34,CUST3109,ACC10117,Savings,Deposit,Home Loan,Firm E,West,Manager 3,21-02-2023,67555.28072,89667.83479,0.206170491,611,85
40,CUST6350,ACC23985,Credit,Transfer,Home Loan,Firm C,East,Manager 1,23-02-2023,19798.24927,118433.667,0.31547769,815,163
110,CUST5428,ACC45907,Savings,Payment,Savings Account,Firm C,Central,Manager 4,20-01-2024,58084.47372,55884.95869,0.625163505,845,92
66,CUST9535,ACC39500,Savings,Withdrawal,Personal Loan,Firm C,East,Manager 3,26-07-2023,24381.98998,49853.0933,0.137846049,527,124
158,CUST1467,ACC45951,Current,Withdrawal,Mutual Fund,Firm E,East,Manager 3,29-11-2023,19454.38267,87894.08403,0.435720769,608,60
93,CUST5174,ACC80442,Loan,Withdrawal,Home Loan,Firm C,Central,Manager 3,21-10-2023,85198.90855,53348.2227,0.75263131,396,152
128,CUST5320,ACC18140,Loan,Deposit,Credit Card,Firm C,East,Manager 4,06-08-2023,45680.91092,62110.36954,-0.301195177,619,32
109,CUST3069,ACC82947,Savings,Withdrawal,Savings Account,Firm D,Central,Manager 4,09-12-2023,23951.88198,34781.10231,0.296981238,375,14
92,CUST5174,ACC16664,Credit,Transfer,Mutual Fund,Firm B,South,Manager 2,22-06-2024,28562.48672,101656.4123,0.301735778,355,219
169,CUST2716,ACC49774,Credit,Transfer,Mutual Fund,Firm C,South,Manager 3,11-06-2024,45686.30798,57860.34237,0.516460744,520,132
72,CUST7994,ACC83269,Credit,Withdrawal,Home Loan,Firm B,Central,Manager 3,04-05-2023,37452.47901,70716.51762,0.482768366,823,238
193,CUST1888,ACC45521,Savings,Transfer,Credit Card,Firm A,East,Manager 4,15-05-2024,40320.0482,99121.23597,0.431139631,365,7
53,CUST1415,ACC72197,Savings,Withdrawal,Personal Loan,Firm D,North,Manager 3,10-03-2023,47889.96453,61618.22167,0.602471544,335,9
123,CUST8091,ACC81631,Savings,Deposit,Mutual Fund,Firm D,North,Manager 4,21-02-2024,70867.26134,53391.77801,0.521006266,601,67
185,CUST9079,ACC83269,Savings,Transfer,Home Loan,Firm C,South,Manager 1,20-11-2023,47068.8879,10514.9481,0.170651287,842,166
123,CUST5610,ACC21719,Credit,Transfer,Savings Account,Firm D,West,Manager 1,01-06-2023,43509.22709,98969.69014,0.233793623,513,136
163,CUST6735,ACC76549,Loan,Deposit,Home Loan,Firm A,Central,Manager 4,17-01-2023,28305.74163,107676.8457,0.511650109,583,204
134,CUST7730,ACC82926,Credit,Payment,Credit Card,Firm B,Central,Manager 4,30-09-2023,75087.04895,84694.5508,0.131526002,637,51
82,CUST7255,ACC61926,Loan,Transfer,Mutual Fund,Firm B,West,Manager 4,23-10-2023,57727.41464,31146.93546,0.533204015,621,11
81,CUST5253,ACC25811,Savings,Transfer,Mutual Fund,Firm C,Central,Manager 3,19-10-2023,11190.15925,28398.7263,0.199667757,520,231
28,CUST7933,ACC53466,Savings,Deposit,Credit Card,Firm D,North,Manager 3,19-04-2023,18181.67381,61719.15547,0.821862361,669,112
143,CUST6947,ACC67713,Savings,Withdrawal,Credit Card,Firm B,North,Manager 1,14-04-2023,71989.68093,112514.6346,0.391108828,344,89
83,CUST8529,ACC67713,Savings,Transfer,Personal Loan,Firm D,Central,Manager 3,17-06-2023,51398.85744,41859.61266,0.53702366,426,100
46,CUST2412,ACC61926,Loan,Deposit,Savings Account,Firm B,South,Manager 4,25-04-2024,42452.64305,55437.47524,0.502684158,828,18
199,CUST3059,ACC32890,Savings,Payment,Credit Card,Firm B,North,Manager 2,07-11-2023,25506.16436,73576.03395,-0.093507591,572,143
40,CUST6029,ACC48501,Loan,Deposit,Savings Account,Firm D,West,Manager 2,10-06-2023,82458.54744,46986.2229,0.593118456,372,141
8,CUST1569,ACC15228,Credit,Withdrawal,Savings Account,Firm D,South,Manager 2,13-01-2023,68490.37795,133706.9055,0.757320042,345,215
53,CUST2457,ACC76597,Credit,Deposit,Savings Account,Firm A,South,Manager 1,05-07-2023,61551.85865,63536.18056,0.174416339,724,205
149,CUST5545,ACC29396,Savings,Transfer,Credit Card,Firm B,South,Manager 1,16-03-2023,82049.2005,123838.8067,0.738166209,638,47
199,CUST7855,ACC62446,Savings,Transfer,Mutual Fund,Firm B,South,Manager 1,10-12-2023,76291.56759,86523.35971,0.180897053,701,147
29,CUST7345,ACC62446,Credit,Transfer,Home Loan,Firm B,West,Manager 1,16-10-2023,44871.29845,73772.30258,0.351504153,309,9
78,CUST9731,ACC16664,Savings,Withdrawal,Savings Account,Firm B,West,Manager 2,17-01-2024,9358.171117,67241.0388,0.549628316,723,94
107,CUST8390,ACC39529,Current,Deposit,Mutual Fund,Firm B,West,Manager 2,16-08-2023,63805.43306,105892.3378,0.575305634,648,91
14,CUST3015,ACC92558,Savings,Payment,Home Loan,Firm B,North,Manager 4,26-05-2023,36327.24327,75460.74745,0.936326617,508,80
26,CUST9843,ACC10996,Credit,Deposit,Credit Card,Firm E,North,Manager 4,09-02-2024,62580.86356,45054.56967,0.904874303,341,112
178,CUST7793,ACC60432,Loan,Withdrawal,Credit Card,Firm D,Central,Manager 2,20-11-2023,40406.59943,130070.3224,0.236204416,480,94
170,CUST3109,ACC46655,Loan,Transfer,Credit Card,Firm B,North,Manager 1,30-04-2023,118490.4488,49258.85003,0.730349521,633,174
48,CUST7855,ACC87006,Current,Transfer,Personal Loan,Firm D,North,Manager 2,03-03-2023,25175.16151,86337.99162,0.583939036,395,46
33,CUST1376,ACC16241,Current,Withdrawal,Home Loan,Firm E,Central,Manager 2,21-12-2023,27091.34521,51824.29122,0.699879608,595,121
97,CUST5121,ACC70460,Savings,Deposit,Personal Loan,Firm C,Central,Manager 2,04-10-2023,67804.70544,39321.57432,0.556128232,733,231
22,CUST4669,ACC81631,Credit,Payment,Home Loan,Firm D,North,Manager 4,06-04-2024,52410.67071,96684.07646,0.40516093,599,97
145,CUST1913,ACC28612,Loan,Transfer,Credit Card,Firm A,South,Manager 1,24-11-2023,38914.62052,55159.06868,0.751059688,694,141
79,CUST1644,ACC50439,Savings,Payment,Savings Account,Firm B,East,Manager 3,21-03-2024,16857.92109,95260.35466,0.703122374,686,28
109,CUST1189,ACC77773,Loan,Transfer,Personal Loan,Firm A,Central,Manager 1,24-05-2024,35430.85738,69599.12539,0.622605215,822,230
146,CUST4669,ACC82381,Savings,Withdrawal,Mutual Fund,Firm B,Central,Manager 3,11-09-2023,72845.03891,85060.684,0.485669654,608,193
13,CUST3306,ACC16241,Current,Transfer,Credit Card,Firm B,West,Manager 3,30-09-2023,36880.52766,46839.95369,0.280465344,754,134
70,CUST7120,ACC92104,Current,Deposit,Home Loan,Firm E,North,Manager 3,21-10-2023,33136.61732,51755.47063,0.395151931,526,72
97,CUST2716,ACC42903,Loan,Transfer,Home Loan,Firm D,West,Manager 3,01-04-2024,39948.52659,77110.80013,0.400665312,638,209
87,CUST3069,ACC49774,Loan,Payment,Home Loan,Firm E,West,Manager 4,21-03-2024,24700.35634,84810.64248,0.582310266,585,163
137,CUST6038,ACC29396,Loan,Payment,Credit Card,Firm C,East,Manager 2,19-04-2023,46207.91292,42042.8552,0.127481543,416,212
50,CUST4763,ACC24070,Credit,Transfer,Mutual Fund,Firm A,East,Manager 3,22-08-2023,37557.48267,6547.355213,0.481479136,349,101
37,CUST2694,ACC74631,Loan,Deposit,Savings Account,Firm C,North,Manager 1,01-04-2024,62990.86016,56039.6075,-0.163995377,390,116
187,CUST4241,ACC60432,Savings,Withdrawal,Credit Card,Firm A,North,Manager 3,23-02-2023,90160.18026,69116.4498,0.3284017,699,89
29,CUST9129,ACC53865,Savings,Transfer,Credit Card,Firm B,North,Manager 1,13-06-2024,41215.90878,112250.6475,0.621127077,788,38
128,CUST2541,ACC86784,Savings,Transfer,Personal Loan,Firm B,East,Manager 2,01-03-2024,47902.75849,142733.4892,0.370573643,597,236
120,CUST3015,ACC45907,Savings,Withdrawal,Home Loan,Firm B,South,Manager 1,21-12-2023,130475.1663,14174.17685,0.564345617,483,228
134,CUST5174,ACC29396,Loan,Withdrawal,Mutual Fund,Firm A,South,Manager 4,25-11-2023,84840.37275,50709.54647,0.650704461,489,74
54,CUST2539,ACC62446,Current,Transfer,Home Loan,Firm A,South,Manager 1,17-12-2023,48881.36039,81466.57585,0.56190263,523,199
75,CUST5545,ACC57597,Current,Transfer,Home Loan,Firm E,West,Manager 3,30-07-2023,-14452.52809,22737.83269,0.091174779,531,179
191,CUST1376,ACC80131,Credit,Withdrawal,Credit Card,Firm B,West,Manager 3,29-01-2024,-954.2371284,74740.08097,0.599331057,389,23
150,CUST1498,ACC95774,Savings,Deposit,Personal Loan,Firm D,Central,Manager 3,03-10-2023,42952.20727,103426.9856,0.33855276,489,77
121,CUST9248,ACC51971,Savings,Withdrawal,Home Loan,Firm C,West,Manager 3,02-01-2023,35582.48676,37466.28558,0.440967291,562,224
106,CUST8155,ACC10117,Credit,Deposit,Mutual Fund,Firm C,East,Manager 3,18-06-2023,63248.56067,31961.53479,0.736631057,573,109
4,CUST5428,ACC88252,Loan,Transfer,Home Loan,Firm C,West,Manager 4,14-02-2023,-1324.16851,12947.00582,0.512062992,333,147
103,CUST3041,ACC34821,Savings,Deposit,Home Loan,Firm B,North,Manager 3,23-03-2024,63709.51436,175247.5395,0.504832166,352,192
55,CUST4346,ACC49774,Savings,Deposit,Home Loan,Firm E,Central,Manager 3,21-05-2023,39724.63361,41039.58004,0.563449528,725,53
40,CUST8091,ACC91723,Credit,Withdrawal,Credit Card,Firm B,South,Manager 1,30-01-2023,72663.35756,79786.38453,0.75568492,494,29
154,CUST4258,ACC69323,Savings,Withdrawal,Personal Loan,Firm E,South,Manager 1,10-08-2023,35454.03812,156472.2656,0.746546887,547,85
143,CUST4346,ACC83581,Savings,Transfer,Home Loan,Firm E,North,Manager 4,08-03-2023,68815.52333,6654.083143,0.708085661,625,113
27,CUST1962,ACC92558,Credit,Withdrawal,Personal Loan,Firm C,Central,Manager 4,09-12-2023,94076.28304,66953.91353,0.754741323,382,79
63,CUST4346,ACC31902,Current,Payment,Mutual Fund,Firm D,East,Manager 4,02-03-2024,55158.03714,133830.378,0.567534924,325,71
26,CUST3306,ACC87006,Loan,Transfer,Mutual Fund,Firm B,West,Manager 4,13-01-2023,27998.91772,100400.6425,0.166413655,504,218
27,CUST5385,ACC61827,Loan,Payment,Personal Loan,Firm A,West,Manager 1,12-05-2023,56057.65493,91495.82325,0.361336103,792,65
77,CUST1497,ACC29396,Loan,Payment,Home Loan,Firm B,West,Manager 1,10-12-2023,23161.63156,76564.43785,1.055719951,491,25
98,CUST4373,ACC88516,Current,Payment,Savings Account,Firm E,North,Manager 3,20-04-2024,71891.26838,51863.19194,0.487648559,735,48
103,CUST4794,ACC50817,Savings,Deposit,Personal Loan,Firm C,West,Manager 1,16-03-2023,65261.60125,56637.21499,0.263641928,701,189
131,CUST4684,ACC75767,Savings,Withdrawal,Savings Account,Firm B,West,Manager 4,23-10-2023,54237.12283,58291.04649,0.452772333,361,161
5,CUST9066,ACC57700,Savings,Transfer,Mutual Fund,Firm B,East,Manager 1,17-01-2024,54967.79558,32664.91015,0.982263283,682,186
44,CUST1609,ACC16241,Loan,Deposit,Credit Card,Firm E,West,Manager 4,01-01-2024,57449.05639,94510.20432,0.78603642,416,62
155,CUST8288,ACC71388,Credit,Deposit,Credit Card,Firm D,South,Manager 4,06-07-2023,35471.89391,74266.92352,0.067419045,606,30
39,CUST8155,ACC76549,Loan,Transfer,Credit Card,Firm B,South,Manager 3,30-12-2023,47639.9714,7315.669833,-0.180382018,598,222
35,CUST1121,ACC58667,Credit,Withdrawal,Home Loan,Firm C,South,Manager 3,06-02-2024,102488.6325,81693.30481,0.49109238,500,189
62,CUST4884,ACC51593,Current,Deposit,Mutual Fund,Firm E,South,Manager 4,18-02-2024,88990.27103,118249.5242,-0.001035655,685,114
11,CUST8028,ACC39161,Savings,Transfer,Savings Account,Firm B,East,Manager 2,05-07-2023,47132.14075,65506.30662,0.49600432,386,15
125,CUST3306,ACC76549,Credit,Deposit,Personal Loan,Firm A,Central,Manager 3,08-01-2023,73961.06018,145110.9486,0.288472644,465,181
38,CUST4438,ACC24981,Current,Deposit,Mutual Fund,Firm A,East,Manager 2,30-01-2023,19578.97146,48111.84826,0.208377747,467,126
122,CUST3725,ACC95164,Savings,Transfer,Home Loan,Firm C,North,Manager 1,09-01-2023,51149.92767,105477.6545,0.756508077,730,226
152,CUST9535,ACC37688,Current,Transfer,Savings Account,Firm B,South,Manager 2,21-02-2024,80737.62071,55391.33142,0.274523352,455,165
188,CUST3449,ACC28305,Savings,Withdrawal,Mutual Fund,Firm E,South,Manager 2,16-04-2024,36590.93953,45986.26007,0.238109121,684,54
192,CUST5705,ACC46953,Current,Withdrawal,Personal Loan,Firm A,Central,Manager 1,30-03-2024,-24811.42895,69343.48153,0.702491806,732,173
43,CUST5253,ACC37688,Savings,Deposit,Mutual Fund,Firm E,West,Manager 3,14-02-2023,10173.28589,13664.85657,0.433019414,577,215
29,CUST1547,ACC55331,Current,Withdrawal,Mutual Fund,Firm C,South,Manager 2,04-02-2024,43317.93415,2436.95284,0.387902603,438,76
28,CUST1749,ACC94907,Current,Payment,Mutual Fund,Firm D,West,Manager 3,06-10-2023,81738.74079,52864.31436,0.393031157,775,191
19,CUST5255,ACC48303,Loan,Withdrawal,Mutual Fund,Firm B,East,Manager 1,17-12-2023,91381.39744,43888.41266,0.506228823,793,191
89,CUST9843,ACC24981,Savings,Deposit,Savings Account,Firm B,Central,Manager 3,14-07-2023,48026.07628,78775.97102,0.108768033,537,229
4,CUST8529,ACC32212,Current,Deposit,Mutual Fund,Firm E,West,Manager 4,30-12-2023,94602.32081,92272.73895,0.681074403,353,191
131,CUST4769,ACC87006,Credit,Payment,Home Loan,Firm C,East,Manager 1,02-05-2024,15395.0945,90437.17432,0.13547269,442,194
184,CUST8772,ACC16241,Loan,Withdrawal,Mutual Fund,Firm B,Central,Manager 2,17-02-2023,88560.46331,-19222.713,0.355380735,653,147
90,CUST6350,ACC75767,Credit,Deposit,Savings Account,Firm E,South,Manager 2,08-01-2024,41241.5719,41858.89156,0.183166774,744,12
134,CUST2018,ACC65545,Current,Transfer,Home Loan,Firm C,East,Manager 3,05-02-2024,71104.31028,95516.66966,0.397352469,362,6
173,CUST2443,ACC37688,Loan,Withdrawal,Savings Account,Firm C,East,Manager 4,24-05-2023,30988.78467,30407.10444,0.678561452,536,239
129,CUST1467,ACC77533,Credit,Withdrawal,Credit Card,Firm B,Central,Manager 2,09-12-2023,-17164.68609,104005.0399,0.308941801,630,170
193,CUST3378,ACC75767,Savings,Deposit,Mutual Fund,Firm B,North,Manager 2,30-04-2023,22030.61601,42989.74234,0.409329882,713,128
194,CUST5664,ACC74631,Credit,Withdrawal,Savings Account,Firm B,Central,Manager 3,21-02-2023,59913.35753,26870.95863,0.041673191,626,165
136,CUST3602,ACC29356,Current,Transfer,Savings Account,Firm C,South,Manager 3,26-10-2023,74189.14293,85402.51139,0.661080519,365,163
195,CUST7098,ACC82947,Loan,Payment,Personal Loan,Firm B,Central,Manager 3,08-11-2023,37356.39675,104968.1033,0.317685957,509,168
156,CUST3602,ACC64393,Credit,Withdrawal,Mutual Fund,Firm D,West,Manager 2,27-05-2024,77092.80098,133228.1191,0.32702155,614,212
37,CUST2457,ACC39161,Savings,Deposit,Credit Card,Firm E,Central,Manager 1,08-06-2024,74198.23746,77617.62805,0.840019061,723,205
189,CUST5105,ACC50817,Savings,Deposit,Mutual Fund,Firm E,South,Manager 1,05-03-2024,66353.79825,93255.57049,0.318183742,547,169
20,CUST8091,ACC23736,Loan,Payment,Personal Loan,Firm C,North,Manager 2,06-10-2023,52326.46402,128383.9556,0.522296067,847,228
40,CUST4373,ACC77533,Current,Payment,Mutual Fund,Firm D,Central,Manager 2,19-07-2023,7468.239381,80579.6429,0.43866729,558,34
182,CUST5500,ACC24070,Savings,Deposit,Mutual Fund,Firm D,South,Manager 2,27-05-2024,57864.13275,83284.10242,0.515640767,819,231
96,CUST2539,ACC66086,Current,Transfer,Savings Account,Firm A,West,Manager 2,04-05-2024,30482.48187,89051.27561,0.758033312,332,221
39,CUST5912,ACC77638,Loan,Payment,Home Loan,Firm B,North,Manager 2,29-01-2024,86584.88572,100364.368,0.645438558,397,110
52,CUST1189,ACC22799,Savings,Transfer,Credit Card,Firm D,West,Manager 2,04-08-2023,27114.35191,33881.8579,0.367933139,677,19
185,CUST1962,ACC95774,Credit,Transfer,Personal Loan,Firm E,North,Manager 2,03-03-2023,14746.31435,118186.5639,0.386860971,346,40
161,CUST6029,ACC21429,Loan,Payment,Home Loan,Firm A,South,Manager 3,25-04-2024,20442.76188,42712.97985,0.504346557,592,129
63,CUST9129,ACC80131,Savings,Deposit,Home Loan,Firm B,West,Manager 1,13-06-2024,24097.06793,3262.590525,0.645160715,483,191
81,CUST1498,ACC15228,Credit,Transfer,Home Loan,Firm B,South,Manager 4,24-12-2023,47032.55142,38817.09876,0.200475304,822,121
2,CUST1609,ACC49140,Current,Withdrawal,Mutual Fund,Firm A,Central,Manager 4,11-09-2023,94450.53649,40653.44531,0.966357661,615,145
5,CUST7345,ACC67713,Savings,Deposit,Savings Account,Firm A,Central,Manager 1,08-02-2024,-10108.19625,68650.80576,0.39299281,533,216
38,CUST5320,ACC66086,Savings,Withdrawal,Mutual Fund,Firm E,North,Manager 2,18-06-2023,103334.7707,56161.93359,0.425826332,680,34
76,CUST9666,ACC89098,Savings,Payment,Home Loan,Firm A,North,Manager 1,08-05-2023,57747.14581,17170.87453,0.447977694,536,190
126,CUST5894,ACC88252,Loan,Payment,Home Loan,Firm A,East,Manager 3,08-11-2023,53717.58764,66466.89692,0.587499188,491,172
51,CUST1887,ACC28612,Loan,Deposit,Mutual Fund,Firm C,North,Manager 2,23-10-2023,50577.10631,100211.5105,0.489179348,426,142
128,CUST9038,ACC25132,Savings,Transfer,Mutual Fund,Firm E,Central,Manager 3,24-11-2023,38305.04456,104621.2725,0.403719117,488,217
129,CUST2018,ACC32212,Credit,Deposit,Home Loan,Firm D,East,Manager 2,17-02-2024,26008.41896,67899.41754,0.572998505,340,147
21,CUST8529,ACC23985,Current,Payment,Mutual Fund,Firm A,West,Manager 3,14-03-2024,111058.5678,61398.62353,0.717327046,461,132
68,CUST1644,ACC71388,Current,Payment,Credit Card,Firm B,West,Manager 4,30-12-2023,71612.81537,81427.85475,0.442037033,516,115
168,CUST9754,ACC32212,Loan,Withdrawal,Home Loan,Firm E,Central,Manager 2,17-12-2023,31887.88648,38493.16196,0.425136477,617,216
142,CUST9535,ACC20297,Savings,Deposit,Mutual Fund,Firm B,South,Manager 4,11-09-2023,30256.99681,82533.04365,0.751591178,457,176
35,CUST9683,ACC25811,Current,Payment,Savings Account,Firm D,West,Manager 4,10-01-2023,56202.83256,69891.39127,0.396662205,424,170
176,CUST8318,ACC28154,Loan,Deposit,Mutual Fund,Firm B,Central,Manager 1,09-02-2024,25764.50451,95766.76022,0.146555778,648,159
83,CUST4373,ACC82947,Loan,Transfer,Mutual Fund,Firm B,South,Manager 1,24-12-2023,34510.35457,52731.56592,0.585469393,697,213
76,CUST6028,ACC67701,Loan,Withdrawal,Personal Loan,Firm A,South,Manager 1,19-10-2023,70368.04002,45924.00418,0.319146496,787,204
21,CUST4780,ACC88516,Credit,Payment,Credit Card,Firm C,East,Manager 4,28-05-2024,48518.75831,25786.87706,0.628926196,541,150
166,CUST8461,ACC28292,Current,Transfer,Mutual Fund,Firm B,Central,Manager 2,16-04-2024,47644.51746,-2250.087452,0.406042581,408,24
98,CUST4346,ACC90887,Loan,Payment,Mutual Fund,Firm D,South,Manager 2,21-12-2023,56704.50094,73747.35253,1.019736773,616,17
92,CUST2944,ACC39529,Savings,Withdrawal,Mutual Fund,Firm A,East,Manager 1,20-04-2024,67189.4679,105343.6962,0.529162303,585,224
56,CUST2412,ACC65144,Savings,Deposit,Personal Loan,Firm D,West,Manager 1,26-10-2023,19092.26302,91972.16329,0.762649142,428,39
113,CUST1840,ACC70741,Credit,Payment,Personal Loan,Firm D,West,Manager 4,11-05-2023,92103.9323,115215.3136,0.527614564,376,183
36,CUST1376,ACC82381,Credit,Transfer,Mutual Fund,Firm C,West,Manager 1,06-01-2023,4236.079666,141381.533,-0.389353601,424,196
158,CUST5574,ACC78581,Loan,Transfer,Mutual Fund,Firm E,East,Manager 1,22-06-2024,81113.73108,101118.3656,0.283894007,425,43
18,CUST4402,ACC51971,Current,Withdrawal,Mutual Fund,Firm A,North,Manager 1,16-02-2023,75733.27346,104671.8413,0.296638413,753,34
11,CUST7173,ACC41829,Credit,Withdrawal,Credit Card,Firm E,Central,Manager 3,01-07-2023,21910.31507,53906.91922,0.411145374,597,19
8,CUST4241,ACC12334,Credit,Transfer,Credit Card,Firm D,East,Manager 4,10-08-2023,10342.25612,126642.5838,0.424750948,598,187
188,CUST5174,ACC53466,Current,Transfer,Home Loan,Firm A,North,Manager 3,07-06-2024,87507.22339,112695.8333,0.342886883,813,33
55,CUST1042,ACC57516,Loan,Payment,Mutual Fund,Firm C,Central,Manager 2,07-11-2023,23144.13012,66222.22295,0.441954068,673,161
177,CUST5428,ACC42710,Current,Payment,Savings Account,Firm E,East,Manager 1,07-03-2023,37606.37007,28341.21256,0.421794689,591,64
121,CUST7730,ACC26973,Current,Payment,Home Loan,Firm B,North,Manager 1,09-02-2024,48164.13332,-8762.711283,0.816948167,475,52
124,CUST9129,ACC52650,Loan,Withdrawal,Personal Loan,Firm E,East,Manager 1,30-07-2023,27696.23291,49167.97037,0.091661724,699,39
57,CUST7651,ACC24981,Credit,Payment,Home Loan,Firm C,South,Manager 1,19-10-2023,66184.3195,77670.97214,0.64669204,560,45
36,CUST2109,ACC96868,Loan,Transfer,Home Loan,Firm D,East,Manager 2,21-04-2024,47036.07213,158520.0411,0.427163007,847,156
36,CUST8772,ACC46655,Savings,Payment,Home Loan,Firm D,South,Manager 3,11-06-2024,45763.2185,57309.3873,0.014612122,315,191
112,CUST6776,ACC32627,Loan,Payment,Credit Card,Firm D,South,Manager 2,13-01-2023,27016.47778,147267.0797,0.737406655,594,59
55,CUST8250,ACC74656,Loan,Payment,Credit Card,Firm D,South,Manager 4,28-11-2023,86660.53043,71492.73878,0.506539722,424,170
123,CUST7481,ACC21719,Loan,Withdrawal,Mutual Fund,Firm D,West,Manager 2,02-01-2023,47282.33063,115548.2645,0.156221114,330,48
4,CUST2699,ACC55331,Loan,Deposit,Personal Loan,Firm A,East,Manager 2,10-02-2023,24457.70658,71999.33447,0.104918426,673,110
188,CUST2067,ACC78589,Loan,Withdrawal,Credit Card,Firm D,East,Manager 4,03-04-2023,53439.87997,73445.2021,0.74056879,804,230
32,CUST1644,ACC20297,Savings,Withdrawal,Mutual Fund,Firm A,West,Manager 3,21-11-2023,-3796.574393,83601.26352,0.667459706,666,21
111,CUST6351,ACC51200,Current,Transfer,Credit Card,Firm B,West,Manager 3,21-10-2023,63534.09235,104679.4608,0.632349134,572,28
149,CUST5320,ACC20297,Savings,Transfer,Mutual Fund,Firm A,West,Manager 2,14-07-2023,36396.08485,81763.10434,0.213673172,331,34
194,CUST5610,ACC35419,Current,Transfer,Personal Loan,Firm A,West,Manager 4,08-01-2024,53350.04592,68881.98827,1.030270435,762,202
62,CUST5428,ACC45101,Current,Deposit,Savings Account,Firm A,North,Manager 3,17-02-2024,24402.89504,67986.72997,0.721588583,848,78
132,CUST8529,ACC55729,Loan,Transfer,Personal Loan,Firm C,West,Manager 1,19-03-2024,28513.27626,59660.65317,-0.065265711,743,20
26,CUST4373,ACC82926,Savings,Deposit,Credit Card,Firm D,Central,Manager 3,26-03-2023,54500.78076,25256.32598,0.336196057,624,96
